name,price,type,location,descriptions,kind,age,Secteur,Salons,etage,frais_syndic,surface
TERRAIN 1000 M2 TITRE A BIR JDID,550 000 DH,Terrains et fermes,Bir Jdid,"Je met en vente un terrain de 1000 m2 titre foncier a 2,5 kilometres de péage autoroute sortie de Bir JDID le terrain est pour construction d une villa avec plan autorisé Eau potable et Électricité re","Terrains et Fermes, à vendre",,Toute la ville,,,,
Appartement en Vente à Bouznika,530 000 DH,Appartements,Bouznika,"Centre ville de Bouznika. Quartier calme, à 5 minutes de la gare, 10 minutes de la plage. Toutes les commodités et commerces de proximité à 2 pas.","Appartements, à vendre",Neuf,Autre secteur,1,2,,
بقع ارضية بي البئر الجديد,320 000 DH,Terrains et fermes,Bir Jdid,"وكالة الاملاك سمارو في البئر الجديد تقترح على زبنائها الأعزاء بقع ارضيةبي تجزئة سمارو الشطر الأول قريبة من السوق الأسبوعي مساحتها 100 متر وما فوق سكنيات مخفضة 3200 درهم للميتر

للمزيد من المعلومات ات","Terrains et Fermes, à vendre",,Toute la ville,,,,
A vendre Lot de terrain titré 99 m2 Hay Zitoun,Prix non spécifié,Terrains et fermes,Oujda,"A vendre Lot de terrain titré à partir de 99 m2, situé à proximité de commerces, mosquées, écoles, lycée Mohammed VI, hammam, pharmacies, banques..","Terrains et Fermes, à vendre",,Hay zitoune,,,,
Appartement à la Résistance en Vente à Casablanca,1 400 000 DH,Appartements,Casablanca,"Nous mettons en vente un appartement à 2 Mars au Rez de chaussée se compose de:
_surface:165M²
_3 chambres
_double salon
_2 salles de bain
_toilette pour les invités
_Place au","Appartements, à vendre",,Roches Noires,2,Rez de chaussée,,
Maison et villa 436m² en Vente à Casablanca,2 900 000 DH,Maisons et villas,Casablanca,"منزل للبيع بمنطقة حي الليمون ، يتعرض لأشعة
الشمس على طول النهار ، الحي الذي يتواجد به هذا
المنزل هادئ و آمن ، هنالك أيضا إحتمالية إضافة
Maison a vendre . الطابق الثاني للراغبين بذلك
si","Maisons et Villas, à vendre",11-20 ans,Laimoune,2,,,
APPARTEMENT À VENDRE 117 M² RÉSIDENCE El jamai,1 456 000 DH,Appartements,Agadir,"Idéalement située au cœur de la somptueuse ville d’Agadir, précisément à Haut Founty , la résidence EL JAMAI vous offre un cadre de vie luxueux à 12 min de la plage d’Agadir avec un large choix de sup","Appartements, à vendre",Neuf,Haut-Founty,1,3,,
Bel cabinet à Agdal,3 400 000 DH,Bureaux et plateaux,Rabat,"Un cabinet quasi neuf. avec un emplacement idéal au cœur de l'avenue FRANCE et avenue ATLAS
Ne ratez pas cette opportunité surtout les professionnelles .
Trois chambre
Une réception
D","Bureaux et Plateaux, à vendre",,Agdal,,Rez de chaussée,,
Appartements de standing bien orienté à El Haddada,Prix non spécifié,Appartements,Kénitra,"On vous propose des magnifiques appartements et aussi des duplex de standing dans un quartier propre et calme (proches de toutes les commodités).

Le projet est en cours de finition.
Les superficies a","Appartements, à vendre",Neuf,El Haddada,,,,
Appartement 116m² à vendre Saïd hajji,1 100 000 DH,Appartements,Salé,"Appartement à résidence Semiramis de 116 mètre carré à vendre très belle opportunité pour achat grande surface à un prix intéressant, contactez nous pour plus d’informations","Appartements, à vendre",,Sidi Hajji,2,4,,
Local Commerce neuf a Fès,1 200 000 DH,"Magasins, commerces et locaux industriels",Fès,"IMMOBILIER FÈS/ Promoteur Immobilier propose un commerce d'une superficie de 209 m2, deux façade 5 rideaux
Superficie 97 m2 RDC
Mezzanine 32 m2
sous sol 80 m2
Adresse : Situé près","Magasins, Commerces et Locaux industriels, à vendre",,Route Ain Chkaf,,,,
Magnifique bureau neuf de 93m2 sur Zektouni,1 550 000 DH,Bureaux et plateaux,Casablanca,"A vendre à Bourgogne, un bureau neuf de 93m2 dans un immeuble neuf de plateaux de bureaux situé sur boulevard Zerktouni, proche de toutes les commodités, transport en commun, administration, salles de","Bureaux et Plateaux, à vendre",,Bourgogne,,5,,
Très belles appartements 144m² sans vis à vis,830 000 DH,Appartements,Kénitra,"Bonjour,
**APPARTEMENT DE RÊVE**
Données du bien :
- Superficie totale : 144 m²
- Nombre de pièces : 5
- Nombre de Chambre : 3
- Nombre de salles de bain : 2
- Proche des c","Appartements, à vendre",Neuf,Autre secteur,1,3,,
Appartement Neuf 124 m,870 000 DH,Appartements,Fès,"société immobilière propose un appartement d'une superficie de 124 m² Au 3 ème étage 2 façades voix principale
Type Immeuble : R+4
Superficie : 124 m²
Consistance Appartement : Salon, séjour 3 cham","Appartements, à vendre",Neuf,Route Ain Chkaf,2,2,100,
App maison de ville 116m² avec jardin,660 000 DH,Appartements,Kénitra,"Bonjour,
Je met en vente des très belles appartements (maison de ville) avec jardin d'une superficie de 116m².

*Appartement à chaque étage
* 3 Appartements seulement dans cette maiso","Appartements, à vendre",Neuf,Autre secteur,1,1,,
شقق رائعة للبيع 75 متر بأثمنة مناسبة,380 000 DH,Appartements,Kénitra,"شقق رائعة ابتداء من 38 مليون سنتيم

أعرض لكم شقق رائعة للبيع مساحتها الإجمالية 75 متر مربع، تتواجد بتجزئة أليانس مهدية القنيطرة.
- الشقق تتواجد بحي جديد وهادئ، 10 دقائق بينها وبين شاطئ مهد","Appartements, à vendre",Neuf,Autre secteur,1,1,,
Appartement 75 m² Jnane Tissir à Marrakech,487 500 DH,Appartements,Marrakech,"JNANE TISSIR est un groupement d’immeubles R+4 équipés d’ascenseurs et des balcons, le projet vous propose un grand choix d’appartements .

Bénéficiant d’un ensoleillement idéal et parfaitemen","Appartements, à vendre",Neuf,Targa,1,1,,
Appartements 2 façades 90m² 3 chambres à mehdia,640 000 DH,Appartements,Kénitra,"Bonjour à tous !

Je mets en vente des très belles appartements de luxe 2 façades (choukia) d'une superficie totale de 90m².

*Finition de qualité.

*Les appartements est bien","Appartements, à vendre",Neuf,Autre secteur,1,1,,
Terrain villa OLM,Prix non spécifié,Terrains et fermes,Rabat,"Nous mettons en vente un terrain ouvert sur la rue Tadla, avec une façade de 35 mètres.
La superficie totale du terrain est de 1035 mètres carrés.
Il y en a une villa rez-de-chaussée sa superf","Terrains et Fermes, à vendre",,Souissi,,,,
Appartement 136m à Fès Ouled tayeb,420 000 DH,Appartements,Fès,Je mets en vente un appartement à Ouled Tayeb au 2 étage consiste 1 salon séjour 3 chambres 2 salle de bain cuisine équipée 2 balcon immeuble R+3 bien ensoleillé vue sur axe ( voie) principal,"Appartements, à vendre",Neuf,Ouled Tayeb,2,2,80,
appartement à temara,632 000 DH,Appartements,Temara,"A 15 minutes de rabat se situe une résidence sécurisée avec jardins et sous sol
Dans un cadre idéal et calme les appartements sont composés d’un salon, un séjour, une cuisine équipée 2 chambres,","Appartements, à vendre",Neuf,Skikina,1,4,,
شقق ذات واجهتين متقابلتين للبيع 84 متر,450 000 DH,Appartements,Kénitra,"أعرض لكم شقق رائعة جدا ذات واجهتين و مشمسة طوال اليوم.
*الشقق ذات ديكور رائع مساحتها الإجمالية 84 متر مربع وتتواجد بحي جديد وهادئ(أليانس مهدية2 القنيطرة).

* قريبة من جميع المرافق..

*تتكون الشقة من :","Appartements, à vendre",Neuf,Autre secteur,1,1,,
Lot de villa a sidi Yahya Zaer jardin d'yquem,950 000 DH,Terrains et fermes,Sidi Yahya Zaer,"Lot de villa a sidi Yahya Zaer lotissement les jardins d'yquem d'une superficie de Lot 246 mètre carré.
Le prix légèrement négociable.
Pour plus d'informations n'hésitez pas à me contacter vot","Terrains et Fermes, à vendre",,Toute la ville,,,,
Terrain 4 facades 750 m2 plus terrasse 450 m2,2 625 000 DH,Terrains et fermes,Benslimane,"2 terrains jumelé avec 4 façades ( 2 rue + 2 avenue ) un emplacement très rare à trouver avec un espace pour parking
Le terrain fait 750 m2 au total est la surface constructible 750 m2 + terrasse 450","Terrains et Fermes, à vendre",,Les chenes,,,,
IMMEUBLE R 5 - MAGASIN - GARAGE - ABDELMOUMEN,7 000 000 DH,Bureaux et plateaux,Casablanca,"OPPORTUNITE A SAISIR - OFFRE DE VENTE

Immeuble R+5 + Local Commercial + Garage idéalement situé sur le Bd Abdelmoumen au quartier de Palmier à Casablanca.

1 appartement par étage","Bureaux et Plateaux, à vendre",,Palmier,,5,,
villa usage commerce,8 500 000 DH,Maisons et villas,Temara,"villa avec emplacement commercial 3 façades sur la route côtière en plein centre des commerces ( convient pour une banque , carrefour , bim , clinique , Macdonald )","Maisons et Villas, à vendre",Neuf,Temara Plage,3,,,
appartement commercial,1 590 000 DH,Appartements,Rabat,un très beau appartement bien ensoleiller usage commerce au rez-de-chaussée,"Appartements, à vendre",6-10 ans,Agdal,1,1,70,
Plateaux de bureaux 96 m² Onyx,1 540 800 DH,Bureaux et plateaux,Agadir,"Le projet ONYX est votre nouvelle référence de Business qui bénéficie d’un emplacement idéal au sein d’un quartier dynamique : Avenue Hassan II ,tous prés de la gare de Taxi battoir et de toutes les c","Bureaux et Plateaux, à vendre",,Abattoirs,,2,,
Magnifique Villa de 400m2 à Dar Bouazza,4 300 000 DH,Maisons et villas,Dar Bouazza,"A vendre Magnifique villa de 400m2 de terrain dans un projet récent fermé et sécurisé à Dar Bouazza à 15mn du Morocco Mall, et avec une surface construite de 290m2 sur 2 niveaux répartis comme suit:","Maisons et Villas, à vendre",1-5 ans,Toute la ville,4,,,
Appartement 100m² en Vente à harhoura,1 650 000 DH,Appartements,Temara,Appartement à vendre à harhoura près de résidence les médecins dans une résidence calme et sécurisée avec piscine et jardin au rez-de-chaussée ensoleillé l'appartement se compose de trois chambres ave,"Appartements, à vendre",,Harhoura,1,Rez de chaussée,,
villa s704,3 200 000 DH,Maisons et villas,Marrakech,villa route de sidi ghiat km 18 a marrakech,"Maisons et Villas, à vendre",Neuf,Route de Sidi A. Ghiat,2,,,
des lots Terrain de 200 a 300m2 a temara,Prix non spécifié,Terrains et fermes,Temara,"Terrains pour villas de 200 a 300m2
Titres fonciers disponibles
adresse avenue tarik ibn ziad a coté de l'ecole el fouarate","Terrains et Fermes, à vendre",,Autre secteur,,,,
مشروع شقق جديدة عالية الجودة طنجة البالية,Prix non spécifié,Appartements,Tanger,"مشروع شقق جديدة للبيع عالية الجودة في منطقة طنجة البالية المشروع عبارة عن مجمع سكني خاص و محروس
يتوفر على أكثر من مسبح و مرأب للسيارات بالإضافة إلى أنه قريب لجميع المرافق (كورنيش ملاباطا، مول طنجة","Appartements, à vendre",,Tanja Balia,1,1,,
Appartement 50m² en Vente à Rabat,1 200 000 DH,Appartements,Rabat,"Je mets en vente mon appartement situé dans un quartier trés calme au centre de l'agdal .
Cet appartement est composé d'une chambre à coucher avec placard , d'un salon , d'une cuisine et d'une gra","Appartements, à vendre",,Agdal,1,4,,
Appartement 100m² rénové Résidence du Golf Kénitra,490 000 DH,Appartements,Kénitra,"Charmant et spacieux appartement rénové de 100m² dans la Résidence du Gold à Kénitra, Kasbat El Mehdia, à proximité de la Mosquée At-tissir : 7926+XJM, Kénitra, Maroc.

Eespace cosy, moderne e","Appartements, à vendre",11-20 ans,Autre secteur,2,1,50,
Découvrez nos appartements moyen standing,450 000 DH,Appartements,Casablanca,"Découvrez nos appartements moyen standing à vendre à résidence sunshine

Le projet propose des appartements de standing allant de 53 à 56 m² à partir 450.000 dh
Les appartements Dispose","Appartements, à vendre",Neuf,Aïn Chock,2,1,,
Appartement à vendre près de boulvard alqods,1 150 000 DH,Appartements,Casablanca,"Wassitcom immobilier met en vente un appartement près de boulvard alqods dans un quartier résidentiel calme et près de toutes commodités avec ascenseur et parking 17metres
Le prix affiché est légè","Appartements, à vendre",11-20 ans,Californie,1,5,,
Villa av perl bleu saidia,1 500 000 DH,Maisons et villas,Saidia,"Villa dans lentre de saisie acote barrage de police perl bleue omrane avandre
Avec jardin
Rue chause plus 1er étage
Prix négociable discuté","Maisons et Villas, à vendre",Neuf,Toute la ville,2,,,
شقة 93م²,510 000 DH,Appartements,Kénitra,"* نقدم لك شقة فاخرة للبيع في
lotissement alliance mehdia Kenitra
، بمساحة إجمالية قدرها 93 متر مربع.

تتكون من:
* المساحة الإجمالية: 93 م²
* عدد الصالون","Appartements, à vendre",Neuf,Autre secteur,1,3,,
Lotissements Assafa 94 m² à Ait Melloul,Prix non spécifié,Terrains et fermes,Ait Melloul,"Pour ceux qui souhaitent construire un logement à leur image, les lotissements Assafa situés à rue Alhouda près de la faculté de Chariâa à Ait Melloul proposent, différentes superficies & disposent d","Terrains et Fermes, à vendre",,Toute la ville,,,,
Appartement entre 126m² et 165m² en Vente à Fès,11 500 DH,Appartements,Fès,Appart haut standing à Fès city center (prestigia) entre 126m² et 165m² …,"Appartements, à vendre",Neuf,Agdal,3,7+,,
Appartement 103m² en Vente à Rabat agdal,1 650 000 DH,Appartements,Rabat,"Appartement Habitation/BUREAU À VENDRE superficie 103
Nombre de chambre : 2
Séjour : grand séjour à l’entrée
Salon : double salon avec balcon vue sur avenue fal ould oumeir
Salle de","Appartements, à vendre",11-20 ans,Agdal,3,4,,
هكتار مليح مربع محفض,650 000 DH,Terrains et fermes,Bir Jdid,هكتار مسجل ومحفض صالح للبناء فيلا او فيرمة,"Terrains et Fermes, à vendre",,Toute la ville,,,,
Commerces 38 m² Aurone à Inzegan,380 000 DH,"Magasins, commerces et locaux industriels",Inzegan,"Idéalement situé au cœur de Inezgane, ce projet met à votre disposition 12 bureaux d’une superficie allant de 44 à 54 m² , et 6 locaux commerciaux d’une superficie allant de 37m² à 57m² en livraison i","Magasins, Commerces et Locaux industriels, à vendre",,Toute la ville,,,,
Appartement 91m² à Marrakech,1 200 000 DH,Appartements,Marrakech,LE 25 Immobilier vous présente ce bel appartement de 2 chambres de 90m2 située Route de Casablanca à Marrakech. L'appartement dispose d'un beau salon avec terrasse et de deux grandes chambres pour per,"Appartements, à vendre",6-10 ans,Route de Casablanca,1,1,500,
Showroom Elmers 490 m² à Dcheïra El Jihadia,Prix non spécifié,"Magasins, commerces et locaux industriels",Dcheïra El Jihadia,Les Showroom Elmers sont situés près de la municipalité de Dcheira Agadir. ils sont près de toutes les commodités urbaines de proximité.,"Magasins, Commerces et Locaux industriels, à vendre",,Toute la ville,,,,
Lotissement Al Khalil 85 m² à Taroudant,221 000 DH,Terrains et fermes,Taroudant,"Idéalement situé au centre de Taroudant à proximité de toutes les commodités, commerces, écoles, pharmacies & mosquées, le projet AL KHALIL, vous propose des lots de terrains en R+2, d’une superficie","Terrains et Fermes, à vendre",,Toute la ville,,,,
Appartement Neuf 124 m,870 000 DH,Appartements,Fès,"société immobilière propose un appartement d'une superficie de 124 m² Au 3 ème étage 2 façades voix principale
Type Immeuble : R+4
Superficie : 124 m²
Consistance Appartement : Salon, séjour 3 cham","Appartements, à vendre",Neuf,Route Ain Chkaf,2,2,100,
App maison de ville 116m² avec jardin,660 000 DH,Appartements,Kénitra,"Bonjour,
Je met en vente des très belles appartements (maison de ville) avec jardin d'une superficie de 116m².

*Appartement à chaque étage
* 3 Appartements seulement dans cette maiso","Appartements, à vendre",Neuf,Autre secteur,1,1,,
شقق رائعة للبيع 75 متر بأثمنة مناسبة,380 000 DH,Appartements,Kénitra,"شقق رائعة ابتداء من 38 مليون سنتيم

أعرض لكم شقق رائعة للبيع مساحتها الإجمالية 75 متر مربع، تتواجد بتجزئة أليانس مهدية القنيطرة.
- الشقق تتواجد بحي جديد وهادئ، 10 دقائق بينها وبين شاطئ مهد","Appartements, à vendre",Neuf,Autre secteur,1,1,,
Appartement 75 m² Jnane Tissir à Marrakech,487 500 DH,Appartements,Marrakech,"JNANE TISSIR est un groupement d’immeubles R+4 équipés d’ascenseurs et des balcons, le projet vous propose un grand choix d’appartements .

Bénéficiant d’un ensoleillement idéal et parfaitemen","Appartements, à vendre",Neuf,Targa,1,1,,
Appartements 2 façades 90m² 3 chambres à mehdia,640 000 DH,Appartements,Kénitra,"Bonjour à tous !

Je mets en vente des très belles appartements de luxe 2 façades (choukia) d'une superficie totale de 90m².

*Finition de qualité.

*Les appartements est bien","Appartements, à vendre",Neuf,Autre secteur,1,1,,
Terrain villa OLM,Prix non spécifié,Terrains et fermes,Rabat,"Nous mettons en vente un terrain ouvert sur la rue Tadla, avec une façade de 35 mètres.
La superficie totale du terrain est de 1035 mètres carrés.
Il y en a une villa rez-de-chaussée sa superf","Terrains et Fermes, à vendre",,Souissi,,,,
Appartement 136m à Fès Ouled tayeb,420 000 DH,Appartements,Fès,Je mets en vente un appartement à Ouled Tayeb au 2 étage consiste 1 salon séjour 3 chambres 2 salle de bain cuisine équipée 2 balcon immeuble R+3 bien ensoleillé vue sur axe ( voie) principal,"Appartements, à vendre",Neuf,Ouled Tayeb,2,2,80,
appartement à temara,632 000 DH,Appartements,Temara,"A 15 minutes de rabat se situe une résidence sécurisée avec jardins et sous sol
Dans un cadre idéal et calme les appartements sont composés d’un salon, un séjour, une cuisine équipée 2 chambres,","Appartements, à vendre",Neuf,Skikina,1,4,,
شقق ذات واجهتين متقابلتين للبيع 84 متر,450 000 DH,Appartements,Kénitra,"أعرض لكم شقق رائعة جدا ذات واجهتين و مشمسة طوال اليوم.
*الشقق ذات ديكور رائع مساحتها الإجمالية 84 متر مربع وتتواجد بحي جديد وهادئ(أليانس مهدية2 القنيطرة).

* قريبة من جميع المرافق..

*تتكون الشقة من :","Appartements, à vendre",Neuf,Autre secteur,1,1,,
Lot de villa a sidi Yahya Zaer jardin d'yquem,950 000 DH,Terrains et fermes,Sidi Yahya Zaer,"Lot de villa a sidi Yahya Zaer lotissement les jardins d'yquem d'une superficie de Lot 246 mètre carré.
Le prix légèrement négociable.
Pour plus d'informations n'hésitez pas à me contacter vot","Terrains et Fermes, à vendre",,Toute la ville,,,,
Terrain 4 facades 750 m2 plus terrasse 450 m2,2 625 000 DH,Terrains et fermes,Benslimane,"2 terrains jumelé avec 4 façades ( 2 rue + 2 avenue ) un emplacement très rare à trouver avec un espace pour parking
Le terrain fait 750 m2 au total est la surface constructible 750 m2 + terrasse 450","Terrains et Fermes, à vendre",,Les chenes,,,,
IMMEUBLE R 5 - MAGASIN - GARAGE - ABDELMOUMEN,7 000 000 DH,Bureaux et plateaux,Casablanca,"OPPORTUNITE A SAISIR - OFFRE DE VENTE

Immeuble R+5 + Local Commercial + Garage idéalement situé sur le Bd Abdelmoumen au quartier de Palmier à Casablanca.

1 appartement par étage","Bureaux et Plateaux, à vendre",,Palmier,,5,,
villa usage commerce,8 500 000 DH,Maisons et villas,Temara,"villa avec emplacement commercial 3 façades sur la route côtière en plein centre des commerces ( convient pour une banque , carrefour , bim , clinique , Macdonald )","Maisons et Villas, à vendre",Neuf,Temara Plage,3,,,
appartement commercial,1 590 000 DH,Appartements,Rabat,un très beau appartement bien ensoleiller usage commerce au rez-de-chaussée,"Appartements, à vendre",6-10 ans,Agdal,1,1,70,
Plateaux de bureaux 96 m² Onyx,1 540 800 DH,Bureaux et plateaux,Agadir,"Le projet ONYX est votre nouvelle référence de Business qui bénéficie d’un emplacement idéal au sein d’un quartier dynamique : Avenue Hassan II ,tous prés de la gare de Taxi battoir et de toutes les c","Bureaux et Plateaux, à vendre",,Abattoirs,,2,,
Magnifique Villa de 400m2 à Dar Bouazza,4 300 000 DH,Maisons et villas,Dar Bouazza,"A vendre Magnifique villa de 400m2 de terrain dans un projet récent fermé et sécurisé à Dar Bouazza à 15mn du Morocco Mall, et avec une surface construite de 290m2 sur 2 niveaux répartis comme suit:","Maisons et Villas, à vendre",1-5 ans,Toute la ville,4,,,
Appartement 100m² en Vente à harhoura,1 650 000 DH,Appartements,Temara,Appartement à vendre à harhoura près de résidence les médecins dans une résidence calme et sécurisée avec piscine et jardin au rez-de-chaussée ensoleillé l'appartement se compose de trois chambres ave,"Appartements, à vendre",,Harhoura,1,Rez de chaussée,,
villa s704,3 200 000 DH,Maisons et villas,Marrakech,villa route de sidi ghiat km 18 a marrakech,"Maisons et Villas, à vendre",Neuf,Route de Sidi A. Ghiat,2,,,
des lots Terrain de 200 a 300m2 a temara,Prix non spécifié,Terrains et fermes,Temara,"Terrains pour villas de 200 a 300m2
Titres fonciers disponibles
adresse avenue tarik ibn ziad a coté de l'ecole el fouarate","Terrains et Fermes, à vendre",,Autre secteur,,,,
مشروع شقق جديدة عالية الجودة طنجة البالية,Prix non spécifié,Appartements,Tanger,"مشروع شقق جديدة للبيع عالية الجودة في منطقة طنجة البالية المشروع عبارة عن مجمع سكني خاص و محروس
يتوفر على أكثر من مسبح و مرأب للسيارات بالإضافة إلى أنه قريب لجميع المرافق (كورنيش ملاباطا، مول طنجة","Appartements, à vendre",,Tanja Balia,1,1,,
